Time,R0_team,R0_id,R0_x,R0_y,R0_theta,R1_team,R1_id,R1_x,R1_y,R1_theta,R2_team,R2_id,R2_x,R2_y,R2_theta,R3_team,R3_id,R3_x,R3_y,R3_theta,R4_team,R4_id,R4_x,R4_y,R4_theta,R5_team,R5_id,R5_x,R5_y,R5_theta,R6_team,R6_id,R6_x,R6_y,R6_theta,R7_team,R7_id,R7_x,R7_y,R7_theta,R8_team,R8_id,R8_x,R8_y,R8_theta,R9_team,R9_id,R9_x,R9_y,R9_theta
1.58,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.33,-5.52,230.98,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.63,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.23,-5.50,230.93,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.68,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.13,-5.48,230.88,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.73,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.03,-5.48,230.84,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.78,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.93,-5.50,230.79,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.83,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.83,-5.52,230.74,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.88,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.74,-5.56,230.69,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.93,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.65,-5.62,230.64,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.98,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.58,-5.71,230.60,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
2.03,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,5.52,-5.80,230.55,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
